Not-heritage,Heritage,Maybe-heritage,Don't Know,Heritage with no damage,Damaged heritage,Damaged Not-heritage,Not -damaged Not-heritage
6F8y1TAWLChjh6mP,BeKSiTUCYAAl2Cb,CD1I_P_UIAEFwb1,CD_dwiYWMAAm-0h,BeKTx8ACUAEZPLL,BeKSiTUCYAAl2Cb,Asn6JFzCEAAqKiq,6F8y1TAWLChjh6mP
Asn6JFzCEAAqKiq,BeKTx8ACUAEZPLL,CD1NCwyXIAAfYFl,CDl5-TUUgAAHYAI,CD_eTBxWMAEbXF8,CD_BB4zUsAAavok,B5TIYv0CMAEEPqj,B7ojqT5CQAEbwau
B5TIYv0CMAEEPqj,CD_7EgkUEAAOPvH,CD1OCl3XIAAgnlY,CDlKLtqUgAAb_1q,CD_rGvNVEAAJPgF,CD_BNigWEAAePUC,CD_BIfxW0AEjE0b,B-AVfhKCEAEpe4z
B7ojqT5CQAEbwau,CD_BB4zUsAAavok,CD5M3rZUgAE1wqK,CDlTsqdWIAA6_2k,CD0G4GyXIAAQFnR,CD_cKUGVEAAXGAb,CD_faGEUkAAmyjD,bF51QIkxte5UwYot
B-AVfhKCEAEpe4z,CD_BNigWEAAePUC,CD6zGT4W8AI02vC,CDmx5otWgAIMT0U,CD0hY45UUAAZkq9,CD_Ff4uUkAAvXWF,CD_gXXkVIAAm6rc,BZ62snUCMAEEEmM
bF51QIkxte5UwYot,CD_cKUGVEAAXGAb,CD7M5DAWIAANA92,CDnEcFWWMAAvx48,CD0nY7rUMAED4wg,CD_HyFEWgAAYOKX,CD_hD8GUEAACrJ7,CBfNAnrUwAAzv0c
BZ62snUCMAEEEmM,CD_Ff4uUkAAvXWF,CD80uy9WAAAcxTG,CDnVdIWWYAEno7s,CD0QGboUkAEJiU6,CD_Jda-UEAAw5XL,CD_IdoWUUAAtJVD,CCDplI2XIAEL8o9
CBfNAnrUwAAzv0c,CD_HyFEWgAAYOKX,CD9JZQIUIAEPKP1,CDq77LaUkAAbXb7,CD0RZkvUgAACC91,CD_PeMaUEAADeXR,CD_jx8bVIAI2mkz,CCnBoBhUwAAsk2g
CCDplI2XIAEL8o9,CD_Jda-UEAAw5XL,CDbfgjNUEAAiz_W,CDqeJy8WYAAN0Rj,CD1JrhCWEAAEqh9,CD_uYQUWYAAihdm,CD_uJtMVIAAjMKd,CD__fC5UUAAdjN6
CCnBoBhUwAAsk2g,CD_PeMaUEAADeXR,CDf_EZQW0AAwc1e,CDqxK8oWEAAcdnE,CD3dVCrWgAAm8Z6,CD_VLGNUkAAyp5x,CD_v_9xUMAAp-fL,CD__TDtUsAAEAVl
CD__fC5UUAAdjN6,CD_rGvNVEAAJPgF,CDf7RXiUMAA0TJP,CDrF56qWEAA5112,CD55Of0UgAEP4lw,CD_wxTEUIAEMb8N,CD_W1mXUgAATgjq,CD__XqtUMAAWDu-
CD__TDtUsAAEAVl,CD_uYQUWYAAihdm,CDfSyLYUUAA44gj,CDsK-_tUIAAGm-h,CD58ogzUgAAq2WJ,CD00eIUWIAAPyP6,CD_wKcmVEAAS8CJ,CD__ZAsUkAI-v9V
CD__XqtUMAAWDu-,CD_VLGNUkAAyp5x,CDfWZ-VWoAA-HB3,CD-tno5UgAAZNvz,CD5oNU3UkAATPHa,CD07orMUgAAL-mm,CD_wxTEUIAEMb8N,CD_0qguUkAAIrad
CD__ZAsUkAI-v9V,CD_wxTEUIAEMb8N,CDgKOSaVIAA5V83,CDxXZv5UUAAjmjn,CD6jZMKW0AEb2zH,CD0BGplUEAAYCTk,CD_WYwQW8AETRsC,CD_0tlPUMAAzgu2
CD_0qguUkAAIrad,CD00eIUWIAAPyP6,CDgOGPcW0AAjHTN,CEE7p40WIAAcNsR,CD6tXYkUsAAqIPT,CD0E0oKXIAAo2tc,CD_y0-cUEAIUVBc,CD_0ZokW8AAT52U
CD_0tlPUMAAzgu2,CD05EhSUMAAUTJl,CDh7stYVIAA-hxF,CEFFYDfVAAAvkss,CD7mlkBVEAAzZNb,CD0I_IwUgAEKoMG,CD0_7_yUgAE5reO,CD_1Ca6UIAAEEZs
CD_0ZokW8AAT52U,CD07orMUgAAL-mm,CDhYI6fVAAERdW5,,CD8GjyvUgAA6ril,CD0JbzcUIAAXNem,CD026SyUkAMz17X,CD_1qWAWMAA5YKd
CD_1Ca6UIAAEEZs,CD0BGplUEAAYCTk,CDhyxJ8VAAAIJfM,,CD8Hf5hVEAAgGxq,CD0nY7rUMAED4wg,CD02hyYUUAEVBX5,CD_1VCIVAAEW0M3
CD_1qWAWMAA5YKd,CD0E0oKXIAAo2tc,CDi1uSjVEAACO0z,,CDb_czuVIAAgsr9,CD0TQ-VUgAAgl_P,CD0-2LJVEAARtO8,CD_3KIFUkAE7UV2
CD_1VCIVAAEW0M3,CD0G4GyXIAAQFnR,CDim2_JW8AMHpzj,,CDb_FJxWoAA0yFj,CD1AnJXWgAAQZ8s,CD034COUIAAOAop,CD_3rRnUkAALwlV
CD_3KIFUkAE7UV2,CD0hY45UUAAZkq9,CDj2wyyWoAAEs-W,,CDb3xz5UEAAjfv-,CD1FR3uUIAETN05,CD03H-uUsAAth9d,CD_6B7EUIAAKNB9
CD_3rRnUkAALwlV,CD0I_IwUgAEKoMG,CDk0V5qWYAAPmED,,CDb7ZadUEAE7P11,CD1FRf7WIAAlvvz,CD04C2kWoAEe080,CD_6XBMUIAM4EkE
CD_6B7EUIAAKNB9,CD0JbzcUIAAXNem,CDklnWNVAAAMB2C,,CDbBoleUsAA8lk0,CD1JrhCWEAAEqh9,CD04tpNUUAAm4PQ,CD_86sTWEAAVxbZ
CD_6XBMUIAM4EkE,CD0nY7rUMAED4wg,CDlFEnFWoAApfir,,CDbBsOpVIAA2zps,CD1K-wsVAAE403a,CD05E64W8AEfaZS,CD_8-GpVEAEohHF
CD_86sTWEAAVxbZ,CD0QGboUkAEJiU6,CDlgE8CUIAAJH5T,,CDbbWbiVIAAYlzF,CD1l9aIUUAAHcxY,CD06TlaUsAAidPh,CD_A377VEAAfHMy
CD_8-GpVEAEohHF,CD0RZkvUgAACC91,CDloEAsUMAAJ1lp,,CDbEu9JWgAMxxyB,CD1pjL4WYAEVyfp,CD09tyLWMAEIGyx,CD_BdtEUUAA_7I7
CD_A377VEAAfHMy,CD0TQ-VUgAAgl_P,CDlRwt_UMAADOIi,,CDbHt3EUIAA4kwA,CD1rne8WMAAk4tm,CD0aO9ZUUAAYut1,CD_BNigWEAAePUC
CD_BdtEUUAA_7I7,CD0UG9MUgAA1Z6l,CDlSSYGUsAArvcD,,CDbM-ZFVIAA_n8y,CD1S7nzVEAAbHLW,CD0aXdyWgAABr39,CD_BXKuUEAA08Wa
CD_BIfxW0AEjE0b,CD1AnJXWgAAQZ8s,CDlVDOqWoAAXgYZ,,CDbOOtXUUAE1Yxs,CD1U2pMWEAANQtA,CD0B1BQVEAAV3El,CD_C22gVEAEijbX
CD_BXKuUEAA08Wa,CD1FR3uUIAETN05,CDlxDr3VAAMfABu,,CDbQ9vVVAAAEmU8,CD1-wylWYAASiFT,CD0BDWpW8AANoRa,CD_C7zvUMAEYlpm
CD_C22gVEAEijbX,CD1FRf7WIAAlvvz,CDm2PV3WAAAxc56,,CDbQE4VUkAAMeTo,CD244XZWoAAlp-j,CD0BMFkUEAEQe-5,CD_db1UVEAArWN6
CD_C7zvUMAEYlpm,CD1JrhCWEAAEqh9,CDm74cFWoAADVOs,,CDbrXYEUIAAxIzQ,CD2E5sGUgAAy7Uz,CD0cjxUUsAEf-CL,CD_dSBAVAAAnFLW
CD_db1UVEAArWN6,CD1K-wsVAAE403a,CDm79kPWAAA83oX,,CDbT6l1UsAInjtY,CD2FqGfUMAAfFWc,CD0fCqDUsAA1xNR,CD_ECBfUkAIp-vK
CD_dSBAVAAAnFLW,CD1l9aIUUAAHcxY,CDmAFgQWgAEciIt,,CDbv0_iVEAAc0bc,CD2Oys9UUAA-zKn,CD0HEKgUsAAv6QK,CD_EnUfVIAARi_T
CD_dwiYWMAAm-0h,CD1pjL4WYAEVyfp,CDmbWXfW0AErI5t,,CDbYh9uUsAAl3iK,CD2sl-mVAAAMRrk,CD0hSvcWoAAQ0BN,CD_-EPWUgAA5T_S
CD_ECBfUkAIp-vK,CD1rne8WMAAk4tm,CDmfyPrXIAE2wDQ,,CDcaowiXIAAuK7k,CD2TtnoWYAAVZzn,CD0hY45UUAAZkq9,CD_-F4nUEAAvvsT
